Q72,t_FSCRS_INAD,Fears of Expressing Compassion to Self,AIReassurance,MPFC_REASSURING
1,2.44444,,-0.0398913,1.04729
2,1.55556,1.2,-1.02768,-2.31991
3,3.22222,2.4,-0.584439,1.27047
4,2.33333,1.4,0.117074,2.45556
5,3.44444,1.86667,0.279038,0.846561
6,2.66667,3.26667,0.00149326,1.17637
7,2.55556,1.93333,-0.416965,-0.10245
8,1.88889,1.26667,-0.161558,-2.1255
9,4.11111,3.4,-0.0625196,2.46199
10,3.33333,2.73333,1.53997,2.81574
11,2.22222,2.66667,-1.0283,1.79528
12,2.33333,1.73333,-0.0269191,0.992
13,4.22222,3.66667,1.16887,5.09314
14,2.55556,1.13333,0.479139,1.78764
16,1.44444,2.86667,0.785778,0.63821
17,4.44444,1.4,0.508097,0.814088
18,2.88889,1.4,-0.0289127,1.0794
19,3.44444,1.2,0.149651,0.209602
20,4.66667,,-0.240024,-0.00466143
21,2.66667,3.13333,0.689488,0.793902
22,1.88889,2.33333,-0.328741,-1.26587
23,1.22222,1.73333,0.731701,0.932441
24,2.11111,1.2,-0.758625,-0.463125
25,3.66667,1.53333,0.0782382,2.62239
26,2.44444,2.53333,-0.0492115,-1.82044
27,4.33333,2.33333,1.11825,0.955614
28,2.88889,2.8,0.0266507,0.280546
29,2.22222,1.73333,-0.100633,0.765173
30,2.44444,1.8,-0.104749,2.31784
31,3.44444,1.46667,0.0818942,1.17408
32,4.22222,2.4,0.362092,0.345947
33,2.77778,2.46667,0.401172,1.31908
34,2.22222,2.2,-0.545388,-0.0187799
35,2,1.53333,0.442821,-0.677349
36,3,1.8,0.370395,0.386085
37,1.66667,2.66667,0.0224707,0.711185
38,2,1.93333,-0.321348,2.3599
39,1.88889,1.46667,-0.77775,0.18638
40,1.88889,1.06667,-0.114104,0.688188
41,2.77778,2.13333,0.196631,1.34542